FIPS,Name,State,County Name,Final County Name
5031,Craighead,AR,Craighead County,Craighead County
5033,Crawford,AR,Crawford County,Crawford County
5035,Crittenden,AR,Crittenden County,Crittenden County
5037,Cross,AR,Cross County,Cross County
5039,Dallas,AR,Dallas County,Dallas County
5041,Desha,AR,Desha County,Desha County
5043,Drew,AR,Drew County,Drew County
5045,Faulkner,AR,Faulkner County,Faulkner County
5047,Franklin,AR,Franklin County,Franklin County
5049,Fulton,AR,Fulton County,Fulton County
5051,Garland,AR,Garland County,Garland County
5053,Grant,AR,Grant County,Grant County
5055,Greene,AR,Greene County,Greene County
5057,Hempstead,AR,Hempstead County,Hempstead County
5059,Hot Spring,AR,Hot Spring County,Hot Spring County
5061,Howard,AR,Howard County,Howard County
5063,Independence,AR,Independence County,Independence County
5065,Izard,AR,Izard County,Izard County
5067,Jackson,AR,Jackson County,Jackson County
5069,Jefferson,AR,Jefferson County,Jefferson County
5071,Johnson,AR,Johnson County,Johnson County
5073,Lafayette,AR,Lafayette County,Lafayette County
5075,Lawrence,AR,Lawrence County,Lawrence County
5077,Lee,AR,Lee County,Lee County
5079,Lincoln,AR,Lincoln County,Lincoln County
5081,Little River,AR,Little River County,Little River County
5083,Logan,AR,Logan County,Logan County
5085,Lonoke,AR,Lonoke County,Lonoke County
5087,Madison,AR,Madison County,Madison County
5089,Marion,AR,Marion County,Marion County
5091,Miller,AR,Miller County,Miller County
5093,Mississippi,AR,Mississippi County,Mississippi County
5095,Monroe,AR,Monroe County,Monroe County
5097,Montgomery,AR,Montgomery County,Montgomery County
5099,Nevada,AR,Nevada County,Nevada County
5101,Newton,AR,Newton County,Newton County
5103,Ouachita,AR,Ouachita County,Ouachita County
5105,Perry,AR,Perry County,Perry County
5107,Phillips,AR,Phillips County,Phillips County
5109,Pike,AR,Pike County,Pike County
5111,Poinsett,AR,Poinsett County,Poinsett County
5113,Polk,AR,Polk County,Polk County
5115,Pope,AR,Pope County,Pope County
5117,Prairie,AR,Prairie County,Prairie County
5119,Pulaski,AR,Pulaski County,Pulaski County
5121,Randolph,AR,Randolph County,Randolph County
5123,St Francis,AR,St Francis County,St Francis County
5125,Saline,AR,Saline County,Saline County
5127,Scott,AR,Scott County,Scott County
5129,Searcy,AR,Searcy County,Searcy County
5131,Sebastian,AR,Sebastian County,Sebastian County
5133,Sevier,AR,Sevier County,Sevier County
5135,Sharp,AR,Sharp County,Sharp County
5137,Stone,AR,Stone County,Stone County
5139,Union,AR,Union County,Union County
5141,Van Buren,AR,Van Buren County,Van Buren County
5143,Washington,AR,Washington County,Washington County
5145,White,AR,White County,White County
5147,Woodruff,AR,Woodruff County,Woodruff County
5149,Yell,AR,Yell County,Yell County
6001,Alameda,CA,Alameda County,Alameda County
6003,Alpine,CA,Alpine County,Alpine County
6005,Amador,CA,Amador County,Amador County
6007,Butte,CA,Butte County,Butte County
6009,Calaveras,CA,Calaveras County,Calaveras County
6011,Colusa,CA,Colusa County,Colusa County
6013,Contra Costa,CA,Contra Costa County,Contra Costa County
6015,Del Norte,CA,Del Norte County,Del Norte County
6017,El Dorado,CA,El Dorado County,El Dorado County
6019,Fresno,CA,Fresno County,Fresno County
6021,Glenn,CA,Glenn County,Glenn County
6023,Humboldt,CA,Humboldt County,Humboldt County
6025,Imperial,CA,Imperial County,Imperial County
6027,Inyo,CA,Inyo County,Inyo County
6029,Kern,CA,Kern County,Kern County
6031,Kings,CA,Kings County,Kings County
6033,Lake,CA,Lake County,Lake County
6035,Lassen,CA,Lassen County,Lassen County
6037,Los Angeles,CA,Los Angeles County,Los Angeles County
6039,Madera,CA,Madera County,Madera County
6041,Marin,CA,Marin County,Marin County
6043,Mariposa,CA,Mariposa County,Mariposa County
6045,Mendocino,CA,Mendocino County,Mendocino County
6047,Merced,CA,Merced County,Merced County
6049,Modoc,CA,Modoc County,Modoc County
6051,Mono,CA,Mono County,Mono County
6053,Monterey,CA,Monterey County,Monterey County
6055,Napa,CA,Napa County,Napa County
6057,Nevada,CA,Nevada County,Nevada County
6059,Orange,CA,Orange County,Orange County
6061,Placer,CA,Placer County,Placer County
6063,Plumas,CA,Plumas County,Plumas County
6065,Riverside,CA,Riverside County,Riverside County
6067,Sacramento,CA,Sacramento County,Sacramento County
6069,San Benito,CA,San Benito County,San Benito County
6071,San Bernardino,CA,San Bernardino County,San Bernardino County
6073,San Diego,CA,San Diego County,San Diego County
6075,San Francisco,CA,San Francisco County,San Francisco County
6077,San Joaquin,CA,San Joaquin County,San Joaquin County
6079,San Luis Obispo,CA,San Luis Obispo County,San Luis Obispo County
6081,San Mateo,CA,San Mateo County,San Mateo County
6083,Santa Barbara,CA,Santa Barbara County,Santa Barbara County
6085,Santa Clara,CA,Santa Clara County,Santa Clara County
6087,Santa Cruz,CA,Santa Cruz County,Santa Cruz County
6089,Shasta,CA,Shasta County,Shasta County
6091,Sierra,CA,Sierra County,Sierra County
6093,Siskiyou,CA,Siskiyou County,Siskiyou County
6095,Solano,CA,Solano County,Solano County
6097,Sonoma,CA,Sonoma County,Sonoma County
6099,Stanislaus,CA,Stanislaus County,Stanislaus County
6101,Sutter,CA,Sutter County,Sutter County
6103,Tehama,CA,Tehama County,Tehama County
6105,Trinity,CA,Trinity County,Trinity County
6107,Tulare,CA,Tulare County,Tulare County
6109,Tuolumne,CA,Tuolumne County,Tuolumne County
6111,Ventura,CA,Ventura County,Ventura County
6113,Yolo,CA,Yolo County,Yolo County
6115,Yuba,CA,Yuba County,Yuba County
8001,Adams,CO,Adams County,Adams County
8003,Alamosa,CO,Alamosa County,Alamosa County
8005,Arapahoe,CO,Arapahoe County,Arapahoe County
8007,Archuleta,CO,Archuleta County,Archuleta County
8009,Baca,CO,Baca County,Baca County
8011,Bent,CO,Bent County,Bent County
8013,Boulder,CO,Boulder County,Boulder County
8015,Chaffee,CO,Chaffee County,Chaffee County
8017,Cheyenne,CO,Cheyenne County,Cheyenne County
8019,Clear Creek,CO,Clear Creek County,Clear Creek County
8021,Conejos,CO,Conejos County,Conejos County
8023,Costilla,CO,Costilla County,Costilla County
8025,Crowley,CO,Crowley County,Crowley County
8027,Custer,CO,Custer County,Custer County
8029,Delta,CO,Delta County,Delta County
8031,Denver,CO,Denver County,Denver County
8033,Dolores,CO,Dolores County,Dolores County
8035,Douglas,CO,Douglas County,Douglas County
8037,Eagle,CO,Eagle County,Eagle County
8039,Elbert,CO,Elbert County,Elbert County
8041,El Paso,CO,El Paso County,El Paso County
8043,Fremont,CO,Fremont County,Fremont County
8045,Garfield,CO,Garfield County,Garfield County
8047,Gilpin,CO,Gilpin County,Gilpin County
8049,Grand,CO,Grand County,Grand County
8051,Gunnison,CO,Gunnison County,Gunnison County
8053,Hinsdale,CO,Hinsdale County,Hinsdale County
8055,Huerfano,CO,Huerfano County,Huerfano County
8057,Jackson,CO,Jackson County,Jackson County
8059,Jefferson,CO,Jefferson County,Jefferson County
8061,Kiowa,CO,Kiowa County,Kiowa County
8063,Kit Carson,CO,Kit Carson County,Kit Carson County
8065,Lake,CO,Lake County,Lake County
8067,La Plata,CO,La Plata County,La Plata County
8069,Larimer,CO,Larimer County,Larimer County
8071,Las Animas,CO,Las Animas County,Las Animas County
8073,Lincoln,CO,Lincoln County,Lincoln County
8075,Logan,CO,Logan County,Logan County
8077,Mesa,CO,Mesa County,Mesa County
8079,Mineral,CO,Mineral County,Mineral County
8081,Moffat,CO,Moffat County,Moffat County
8083,Montezuma,CO,Montezuma County,Montezuma County
8085,Montrose,CO,Montrose County,Montrose County
8087,Morgan,CO,Morgan County,Morgan County
8089,Otero,CO,Otero County,Otero County
8091,Ouray,CO,Ouray County,Ouray County
8093,Park,CO,Park County,Park County
8095,Phillips,CO,Phillips County,Phillips County
8097,Pitkin,CO,Pitkin County,Pitkin County
8099,Prowers,CO,Prowers County,Prowers County
8101,Pueblo,CO,Pueblo County,Pueblo County
8103,Rio Blanco,CO,Rio Blanco County,Rio Blanco County
8105,Rio Grande,CO,Rio Grande County,Rio Grande County
8107,Routt,CO,Routt County,Routt County
8109,Saguache,CO,Saguache County,Saguache County
8111,San Juan,CO,San Juan County,San Juan County
8113,San Miguel,CO,San Miguel County,San Miguel County
8115,Sedgwick,CO,Sedgwick County,Sedgwick County
8117,Summit,CO,Summit County,Summit County
8119,Teller,CO,Teller County,Teller County
8121,Washington,CO,Washington County,Washington County
8123,Weld,CO,Weld County,Weld County
8125,Yuma,CO,Yuma County,Yuma County
9001,Fairfield,CT,Fairfield County,Fairfield County
9003,Hartford,CT,Hartford County,Hartford County
9005,Litchfield,CT,Litchfield County,Litchfield County
9007,Middlesex,CT,Middlesex County,Middlesex County
9009,New Haven,CT,New Haven County,New Haven County
9011,New London,CT,New London County,New London County
9013,Tolland,CT,Tolland County,Tolland County
9015,Windham,CT,Windham County,Windham County
10001,Kent,DE,Kent County,Kent County
10003,New Castle,DE,New Castle County,New Castle County
10005,Sussex,DE,Sussex County,Sussex County
11001,Washington,DC,Washington County,Washington County
12001,Alachua,FL,Alachua County,Alachua County
12003,Baker,FL,Baker County,Baker County
12005,Bay,FL,Bay County,Bay County
12007,Bradford,FL,Bradford County,Bradford County
12009,Brevard,FL,Brevard County,Brevard County
12011,Broward,FL,Broward County,Broward County
12013,Calhoun,FL,Calhoun County,Calhoun County
12015,Charlotte,FL,Charlotte County,Charlotte County
12017,Citrus,FL,Citrus County,Citrus County
12019,Clay,FL,Clay County,Clay County
12021,Collier,FL,Collier County,Collier County
12023,Columbia,FL,Columbia County,Columbia County
12027,De Soto,FL,De Soto County,De Soto County
12029,Dixie,FL,Dixie County,Dixie County
12031,Duval,FL,Duval County,Duval County
12033,Escambia,FL,Escambia County,Escambia County
12035,Flagler,FL,Flagler County,Flagler County
12037,Franklin,FL,Franklin County,Franklin County
12039,Gadsden,FL,Gadsden County,Gadsden County
12041,Gilchrist,FL,Gilchrist County,Gilchrist County
12043,Glades,FL,Glades County,Glades County
12045,Gulf,FL,Gulf County,Gulf County
12047,Hamilton,FL,Hamilton County,Hamilton County
12049,Hardee,FL,Hardee County,Hardee County
12051,Hendry,FL,Hendry County,Hendry County
12053,Hernando,FL,Hernando County,Hernando County
12055,Highlands,FL,Highlands County,Highlands County
12057,Hillsborough,FL,Hillsborough County,Hillsborough County
12059,Holmes,FL,Holmes County,Holmes County
12061,Indian River,FL,Indian River County,Indian River County
12063,Jackson,FL,Jackson County,Jackson County
12065,Jefferson,FL,Jefferson County,Jefferson County
12067,Lafayette,FL,Lafayette County,Lafayette County
12069,Lake,FL,Lake County,Lake County
12071,Lee,FL,Lee County,Lee County
12073,Leon,FL,Leon County,Leon County
12075,Levy,FL,Levy County,Levy County
12077,Liberty,FL,Liberty County,Liberty County
12079,Madison,FL,Madison County,Madison County
12081,Manatee,FL,Manatee County,Manatee County
12083,Marion,FL,Marion County,Marion County
12085,Martin,FL,Martin County,Martin County
12086,Miami-Dade,FL,Miami-Dade County,Miami-Dade County
12087,Monroe,FL,Monroe County,Monroe County
12089,Nassau,FL,Nassau County,Nassau County
12091,Okaloosa,FL,Okaloosa County,Okaloosa County
12093,Okeechobee,FL,Okeechobee County,Okeechobee County
12095,Orange,FL,Orange County,Orange County
12097,Osceola,FL,Osceola County,Osceola County
12099,Palm Beach,FL,Palm Beach County,Palm Beach County
12101,Pasco,FL,Pasco County,Pasco County
12103,Pinellas,FL,Pinellas County,Pinellas County
12105,Polk,FL,Polk County,Polk County
12107,Putnam,FL,Putnam County,Putnam County
12109,St Johns,FL,St Johns County,St Johns County
12111,St Lucie,FL,St Lucie County,St Lucie County
12113,Santa Rosa,FL,Santa Rosa County,Santa Rosa County
12115,Sarasota,FL,Sarasota County,Sarasota County
12117,Seminole,FL,Seminole County,Seminole County
12119,Sumter,FL,Sumter County,Sumter County
12121,Suwannee,FL,Suwannee County,Suwannee County
12123,Taylor,FL,Taylor County,Taylor County
12125,Union,FL,Union County,Union County
12127,Volusia,FL,Volusia County,Volusia County
12129,Wakulla,FL,Wakulla County,Wakulla County
12131,Walton,FL,Walton County,Walton County
12133,Washington,FL,Washington County,Washington County
13001,Appling,GA,Appling County,Appling County
13003,Atkinson,GA,Atkinson County,Atkinson County
13005,Bacon,GA,Bacon County,Bacon County
13007,Baker,GA,Baker County,Baker County
13009,Baldwin,GA,Baldwin County,Baldwin County
13011,Banks,GA,Banks County,Banks County
13013,Barrow,GA,Barrow County,Barrow County
13015,Bartow,GA,Bartow County,Bartow County
13017,Ben Hill,GA,Ben Hill County,Ben Hill County
13019,Berrien,GA,Berrien County,Berrien County
13021,Bibb,GA,Bibb County,Bibb County
13023,Bleckley,GA,Bleckley County,Bleckley County
13025,Brantley,GA,Brantley County,Brantley County
13027,Brooks,GA,Brooks County,Brooks County
13029,Bryan,GA,Bryan County,Bryan County
13031,Bulloch,GA,Bulloch County,Bulloch County
13033,Burke,GA,Burke County,Burke County
13035,Butts,GA,Butts County,Butts County
13037,Calhoun,GA,Calhoun County,Calhoun County
13039,Camden,GA,Camden County,Camden County
13043,Candler,GA,Candler County,Candler County
13045,Carroll,GA,Carroll County,Carroll County
13047,Catoosa,GA,Catoosa County,Catoosa County
13049,Charlton,GA,Charlton County,Charlton County
13051,Chatham,GA,Chatham County,Chatham County
13053,Chattahoochee,GA,Chattahoochee County,Chattahoochee County
13055,Chattooga,GA,Chattooga County,Chattooga County
13057,Cherokee,GA,Cherokee County,Cherokee County
13059,Clarke,GA,Clarke County,Clarke County
13061,Clay,GA,Clay County,Clay County
13063,Clayton,GA,Clayton County,Clayton County
13065,Clinch,GA,Clinch County,Clinch County
13067,Cobb,GA,Cobb County,Cobb County
13069,Coffee,GA,Coffee County,Coffee County
13071,Colquitt,GA,Colquitt County,Colquitt County
13073,Columbia,GA,Columbia County,Columbia County
13075,Cook,GA,Cook County,Cook County
13077,Coweta,GA,Coweta County,Coweta County
13079,Crawford,GA,Crawford County,Crawford County
13081,Crisp,GA,Crisp County,Crisp County
13083,Dade,GA,Dade County,Dade County
13085,Dawson,GA,Dawson County,Dawson County
13087,Decatur,GA,Decatur County,Decatur County
13089,De Kalb,GA,De Kalb County,De Kalb County
13091,Dodge,GA,Dodge County,Dodge County
13093,Dooly,GA,Dooly County,Dooly County
13095,Dougherty,GA,Dougherty County,Dougherty County
13097,Douglas,GA,Douglas County,Douglas County
13099,Early,GA,Early County,Early County
13101,Echols,GA,Echols County,Echols County
13103,Effingham,GA,Effingham County,Effingham County
13105,Elbert,GA,Elbert County,Elbert County
13107,Emanuel,GA,Emanuel County,Emanuel County
13109,Evans,GA,Evans County,Evans County
13111,Fannin,GA,Fannin County,Fannin County
13113,Fayette,GA,Fayette County,Fayette County
13115,Floyd,GA,Floyd County,Floyd County
13117,Forsyth,GA,Forsyth County,Forsyth County
13119,Franklin,GA,Franklin County,Franklin County
13121,Fulton,GA,Fulton County,Fulton County
13123,Gilmer,GA,Gilmer County,Gilmer County
13125,Glascock,GA,Glascock County,Glascock County
13127,Glynn,GA,Glynn County,Glynn County
13129,Gordon,GA,Gordon County,Gordon County
13131,Grady,GA,Grady County,Grady County
13133,Greene,GA,Greene County,Greene County
13135,Gwinnett,GA,Gwinnett County,Gwinnett County
13137,Habersham,GA,Habersham County,Habersham County
13139,Hall,GA,Hall County,Hall County
13141,Hancock,GA,Hancock County,Hancock County
13143,Haralson,GA,Haralson County,Haralson County
13145,Harris,GA,Harris County,Harris County
13147,Hart,GA,Hart County,Hart County
13149,Heard,GA,Heard County,Heard County
13151,Henry,GA,Henry County,Henry County
13153,Houston,GA,Houston County,Houston County
13155,Irwin,GA,Irwin County,Irwin County
13157,Jackson,GA,Jackson County,Jackson County
13159,Jasper,GA,Jasper County,Jasper County
13161,Jeff Davis,GA,Jeff Davis County,Jeff Davis County
13163,Jefferson,GA,Jefferson County,Jefferson County
13165,Jenkins,GA,Jenkins County,Jenkins County
13167,Johnson,GA,Johnson County,Johnson County
13169,Jones,GA,Jones County,Jones County
13171,Lamar,GA,Lamar County,Lamar County
13173,Lanier,GA,Lanier County,Lanier County
13175,Laurens,GA,Laurens County,Laurens County
13177,Lee,GA,Lee County,Lee County
13179,Liberty,GA,Liberty County,Liberty County
13181,Lincoln,GA,Lincoln County,Lincoln County
13183,Long,GA,Long County,Long County
13185,Lowndes,GA,Lowndes County,Lowndes County
13187,Lumpkin,GA,Lumpkin County,Lumpkin County
13189,McDuffie,GA,McDuffie County,McDuffie County
13191,McIntosh,GA,McIntosh County,McIntosh County
13193,Macon,GA,Macon County,Macon County
13195,Madison,GA,Madison County,Madison County
13197,Marion,GA,Marion County,Marion County
13199,Meriwether,GA,Meriwether County,Meriwether County
13201,Miller,GA,Miller County,Miller County
13205,Mitchell,GA,Mitchell County,Mitchell County
13207,Monroe,GA,Monroe County,Monroe County
13209,Montgomery,GA,Montgomery County,Montgomery County
13211,Morgan,GA,Morgan County,Morgan County
13213,Murray,GA,Murray County,Murray County
13215,Muscogee,GA,Muscogee County,Muscogee County
13217,Newton,GA,Newton County,Newton County
13219,Oconee,GA,Oconee County,Oconee County
13221,Oglethorpe,GA,Oglethorpe County,Oglethorpe County
13223,Paulding,GA,Paulding County,Paulding County
13225,Peach,GA,Peach County,Peach County
13227,Pickens,GA,Pickens County,Pickens County
13229,Pierce,GA,Pierce County,Pierce County
13231,Pike,GA,Pike County,Pike County
13233,Polk,GA,Polk County,Polk County
13235,Pulaski,GA,Pulaski County,Pulaski County
13237,Putnam,GA,Putnam County,Putnam County
13239,Quitman,GA,Quitman County,Quitman County
13241,Rabun,GA,Rabun County,Rabun County
13243,Randolph,GA,Randolph County,Randolph County
13245,Richmond,GA,Richmond County,Richmond County
13247,Rockdale,GA,Rockdale County,Rockdale County
13249,Schley,GA,Schley County,Schley County
13251,Screven,GA,Screven County,Screven County
13253,Seminole,GA,Seminole County,Seminole County
13255,Spalding,GA,Spalding County,Spalding County
13257,Stephens,GA,Stephens County,Stephens County
13259,Stewart,GA,Stewart County,Stewart County
13261,Sumter,GA,Sumter County,Sumter County
13263,Talbot,GA,Talbot County,Talbot County
13265,Taliaferro,GA,Taliaferro County,Taliaferro County
13267,Tattnall,GA,Tattnall County,Tattnall County
13269,Taylor,GA,Taylor County,Taylor County
13271,Telfair,GA,Telfair County,Telfair County
13273,Terrell,GA,Terrell County,Terrell County
13275,Thomas,GA,Thomas County,Thomas County
13277,Tift,GA,Tift County,Tift County
13279,Toombs,GA,Toombs County,Toombs County
13281,Towns,GA,Towns County,Towns County
13283,Treutlen,GA,Treutlen County,Treutlen County
13285,Troup,GA,Troup County,Troup County
13287,Turner,GA,Turner County,Turner County
13289,Twiggs,GA,Twiggs County,Twiggs County
13291,Union,GA,Union County,Union County
13293,Upson,GA,Upson County,Upson County
13295,Walker,GA,Walker County,Walker County
13297,Walton,GA,Walton County,Walton County
13299,Ware,GA,Ware County,Ware County
13301,Warren,GA,Warren County,Warren County
13303,Washington,GA,Washington County,Washington County
13305,Wayne,GA,Wayne County,Wayne County
13307,Webster,GA,Webster County,Webster County
13309,Wheeler,GA,Wheeler County,Wheeler County
13311,White,GA,White County,White County
13313,Whitfield,GA,Whitfield County,Whitfield County
13315,Wilcox,GA,Wilcox County,Wilcox County
13317,Wilkes,GA,Wilkes County,Wilkes County
13319,Wilkinson,GA,Wilkinson County,Wilkinson County
13321,Worth,GA,Worth County,Worth County
15001,Hawaii,HI,Hawaii County,Hawaii County
15003,Honolulu,HI,Honolulu County,Honolulu County
15007,Kauai,HI,Kauai County,Kauai County
15009,Maui,HI,Maui County,Maui County
16001,Ada,ID,Ada County,Ada County
16003,Adams,ID,Adams County,Adams County
16005,Bannock,ID,Bannock County,Bannock County
16007,Bear Lake,ID,Bear Lake County,Bear Lake County
16009,Benewah,ID,Benewah County,Benewah County
16011,Bingham,ID,Bingham County,Bingham County
16013,Blaine,ID,Blaine County,Blaine County
16015,Boise,ID,Boise County,Boise County
16017,Bonner,ID,Bonner County,Bonner County
16019,Bonneville,ID,Bonneville County,Bonneville County
16021,Boundary,ID,Boundary County,Boundary County
16023,Butte,ID,Butte County,Butte County
16025,Camas,ID,Camas County,Camas County
16027,Canyon,ID,Canyon County,Canyon County
16029,Caribou,ID,Caribou County,Caribou County
16031,Cassia,ID,Cassia County,Cassia County
16033,Clark,ID,Clark County,Clark County
16035,Clearwater,ID,Clearwater County,Clearwater County
16037,Custer,ID,Custer County,Custer County
16039,Elmore,ID,Elmore County,Elmore County
16041,Franklin,ID,Franklin County,Franklin County
16043,Fremont,ID,Fremont County,Fremont County
16045,Gem,ID,Gem County,Gem County
16047,Gooding,ID,Gooding County,Gooding County
16049,Idaho,ID,Idaho County,Idaho County
16051,Jefferson,ID,Jefferson County,Jefferson County
16053,Jerome,ID,Jerome County,Jerome County
16055,Kootenai,ID,Kootenai County,Kootenai County
16057,Latah,ID,Latah County,Latah County
16059,Lemhi,ID,Lemhi County,Lemhi County
16061,Lewis,ID,Lewis County,Lewis County
16063,Lincoln,ID,Lincoln County,Lincoln County
16065,Madison,ID,Madison County,Madison County
16067,Minidoka,ID,Minidoka County,Minidoka County
16069,Nez Perce,ID,Nez Perce County,Nez Perce County
16071,Oneida,ID,Oneida County,Oneida County
16073,Owyhee,ID,Owyhee County,Owyhee County
16075,Payette,ID,Payette County,Payette County
16077,Power,ID,Power County,Power County
16079,Shoshone,ID,Shoshone County,Shoshone County
16081,Teton,ID,Teton County,Teton County
16083,Twin Falls,ID,Twin Falls County,Twin Falls County
