Final State Abbreviation Standard,Final County,CNT
NY,Yates County,1
NY,Monroe County,136
NY,Monroe County,494
NY,Livingston County,107
NY,Ontario County,568
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,5
NY,Ontario County,1
NY,Monroe County,338
NY,Livingston County,21
NY,Monroe County,116
NY,Monroe County,186
NY,Ontario County,75
NY,Orleans County,124
NY,Ontario County,24
NY,Monroe County,83
NY,Ontario County,2
NY,Orleans County,21
NY,Orleans County,22
NY,Yates County,26
#FIELD!,#FIELD!,3
NY,Livingston County,13
NY,Livingston County,23
NY,Genesee County,106
NY,Livingston County,49
NY,Livingston County,2
NY,Livingston County,53
NY,Wayne County,119
NY,Wayne County,121
NY,Ontario County,23
NY,Wayne County,58
NY,Monroe County,8
NY,Yates County,10
NY,Livingston County,92
NY,Monroe County,6
NY,Ontario County,44
NY,Wayne County,371
NY,Monroe County,85
NY,Wayne County,31
NY,Livingston County,46
NY,Wayne County,140
NY,Seneca County,23
NY,Wayne County,131
NY,Genesee County,12
NY,Monroe County,173
NY,Yates County,124
NY,Wyoming County,72
NY,Ontario County,53
NY,Livingston County,29
NY,Monroe County,206
NY,Wyoming County,8
NY,Livingston County,2
NY,Seneca County,88
NY,Wayne County,1
NY,Monroe County,20
NY,Yates County,23
NY,Livingston County,3
NY,Monroe County,64
NY,Ontario County,1
NY,Ontario County,52
NY,Wyoming County,21
NY,Wayne County,108
NY,Wayne County,12
NY,Monroe County,201
NY,Livingston County,21
NY,Ontario County,28
NY,Ontario County,172
NY,Wayne County,48
NY,Wyoming County,108
NY,Orleans County,24
NY,Steuben County,67
AB,Stockholm Municipality County,1
NY,Monroe County,601
NY,Monroe County,116
NY,Wayne County,176
NY,Wayne County,98
NY,Wyoming County,15
NY,Monroe County,1
NY,Monroe County,138
NY,Monroe County,795
NY,Monroe County,1053
NY,Monroe County,498
NY,Monroe County,770
NY,Monroe County,1566
NY,Monroe County,457
NY,Monroe County,1156
NY,Monroe County,671
NY,Monroe County,902
NY,Monroe County,155
NY,Monroe County,684
NY,Monroe County,605
NY,Monroe County,348
NY,Monroe County,254
NY,Monroe County,637
NY,Monroe County,579
NY,Monroe County,1823
NY,Monroe County,160
NY,Monroe County,531
NY,Monroe County,625
NY,Monroe County,142
NY,Monroe County,630
NY,Monroe County,20
NY,Monroe County,73
NY,Monroe County,1
NY,Chautauqua County,1253
NY,Cattaraugus County,72
#FIELD!,#FIELD!,6
NY,Allegany County,25
NY,Chautauqua County,27
NY,Allegany County,15
NY,Chautauqua County,46
NY,Allegany County,4
NY,Allegany County,70
NY,Chautauqua County,37
NY,Allegany County,4
NY,Chautauqua County,30
NY,Cattaraugus County,12
NY,Chautauqua County,10
NY,Allegany County,4
NY,Chautauqua County,2
NY,Chautauqua County,13
NY,Chautauqua County,19
NY,Cattaraugus County,8
NY,Allegany County,82
NY,#FIELD!,10
NY,Cattaraugus County,6
NY,Cattaraugus County,30
NY,Chautauqua County,1
NY,Chautauqua County,62
NY,Allegany County,28
NY,Chautauqua County,6
NY,Cattaraugus County,38
NY,Chautauqua County,37
NY,Allegany County,26
NY,Chautauqua County,9
NY,Cattaraugus County,17
NY,Chautauqua County,2
NY,Cattaraugus County,15
NY,Allegany County,6
NY,Chautauqua County,35
NY,Cattaraugus County,7
NY,Chautauqua County,54
NY,Chautauqua County,1
NY,Cattaraugus County,10
NY,Allegany County,5
NY,Cattaraugus County,25
NY,Chautauqua County,56
NY,Cattaraugus County,453
NY,Chautauqua County,19
NY,Chautauqua County,7
NY,Cattaraugus County,50
NY,Cattaraugus County,59
NY,Allegany County,3
NY,Chautauqua County,30
NY,Allegany County,6
NY,Cattaraugus County,3
NY,Cattaraugus County,104
NY,Chautauqua County,20
NY,Chautauqua County,25
NY,Cattaraugus County,4
CA,Chautauqua County,5
NY,Chautauqua County,51
NY,Cattaraugus County,3
NY,Steuben County,74
NY,Allegany County,23
NY,Allegany County,33
NY,Allegany County,15
NY,Schuyler County,8
NY,Allegany County,19
NY,Steuben County,35
NY,Steuben County,10
NY,Steuben County,26
NY,Steuben County,207
NY,Schuyler County,31
NY,Allegany County,31
NY,Chemung County,22
NY,Steuben County,12
NY,Chemung County,6
NY,Tompkins County,11
NY,Schuyler County,17
NY,Steuben County,13
NY,Steuben County,4
NY,Steuben County,57
NY,Allegany County,4
NY,Steuben County,52
NY,Schuyler County,15
NY,Chemung County,13
NY,Steuben County,16
NY,Steuben County,1
NY,Steuben County,382
NY,Livingston County,37
NY,Yates County,61
NY,Chemung County,20
NY,Steuben County,6
NY,Steuben County,31
NY,Schuyler County,2
NY,Yates County,8
NY,Steuben County,227
NY,Chemung County,659
NY,Livingston County,9
NY,Seneca County,16
NY,Tompkins County,568
NY,Tompkins County,19
NY,Steuben County,4
NY,Steuben County,8
NY,Steuben County,30
NY,Tioga County,14
NY,Seneca County,11
NY,Chemung County,11
NY,Tompkins County,1
NY,Chemung County,18
NY,Schuyler County,29
NY,Tompkins County,63
NY,Schuyler County,10
NY,Steuben County,140
NY,Chemung County,41
NY,Chemung County,11
NY,Steuben County,45
NY,Steuben County,3
#FIELD!,#FIELD!,8
#FIELD!,#FIELD!,6
NY,Steuben County,29
NY,Allegany County,10
NY,Tompkins County,2
NY,Tompkins County,61
NY,Tioga County,55
NY,Allegany County,2
NY,Steuben County,7
NY,Tompkins County,53
NY,Chemung County,20
NY,Schuyler County,87
NY,Tioga County,168
NY,Chemung County,21
NY,Allegany County,141
NY,Allegany County,6
NY,Steuben County,10
NY,Chemung County,542
NY,Chemung County,171
NY,Chemung County,424
NY,Chemung County,162
GA,#FIELD!,4
PA,Beaver County,611
PA,Beaver County,498
PA,Washington County,1
PA,Beaver County,358
PA,Allegheny County,3
PA,Allegheny County,3
PA,Beaver County,247
PA,Beaver County,541
PA,Fayette County,342
PA,Allegheny County,66
PA,Allegheny County,4
PA,Allegheny County,231
PA,Allegheny County,11
PA,Washington County,24
PA,Allegheny County,7
PA,Washington County,102
PA,Washington County,387
AB,Stockholm Municipality County,1
PA,Allegheny County,116
PA,Allegheny County,354
PA,Allegheny County,31
PA,Beaver County,42
PA,Allegheny County,23
PA,Allegheny County,10
PA,Washington County,137
PA,Allegheny County,55
PA,Allegheny County,53
PA,Allegheny County,260
PA,Washington County,3
37,#FIELD!,1
PA,Beaver County,100
PA,Beaver County,13
PA,Allegheny County,166
PA,Allegheny County,146
PA,Allegheny County,26
PA,Allegheny County,7
PA,Allegheny County,8
PA,Beaver County,11
PA,Allegheny County,1
PA,Beaver County,48
PA,Washington County,2
PA,Washington County,10
PA,Washington County,12
PA,Allegheny County,22
PA,Washington County,155
PA,Beaver County,103
PA,Washington County,12
PA,Beaver County,251
PA,Westmoreland County,174
PA,Washington County,173
PA,Allegheny County,13
PA,Allegheny County,230
PA,Beaver County,324
#FIELD!,#FIELD!,311
PA,Westmoreland County,712
PA,Allegheny County,143
PA,Fayette County,1
#FIELD!,#FIELD!,1
PA,Beaver County,212
PA,Allegheny County,1
PA,Allegheny County,17
PA,Beaver County,2
PA,Washington County,10
PA,Beaver County,3
PA,Allegheny County,3
PA,Westmoreland County,11
PA,Allegheny County,217
PA,Westmoreland County,116
PA,Allegheny County,19
PA,Westmoreland County,5
PA,Allegheny County,7
PA,Westmoreland County,120
PA,Allegheny County,108
CA,#FIELD!,3
PA,Allegheny County,205
PA,Allegheny County,750
PA,Allegheny County,407
PA,Allegheny County,336
PA,Allegheny County,1126
PA,Allegheny County,226
PA,Allegheny County,158
PA,Allegheny County,99
PA,Allegheny County,611
PA,Allegheny County,516
PA,Allegheny County,229
PA,Allegheny County,146
PA,Allegheny County,154
PA,Allegheny County,974
PA,Allegheny County,188
PA,Allegheny County,59
PA,Allegheny County,856
PA,Allegheny County,329
PA,Allegheny County,165
PA,Allegheny County,127
PA,Allegheny County,6
PA,Allegheny County,150
PA,Allegheny County,51
PA,Allegheny County,197
PA,Allegheny County,1243
PA,Allegheny County,346
PA,Allegheny County,94
AB,Stockholm Municipality County,1
PA,Allegheny County,232
PA,Allegheny County,425
PA,Allegheny County,432
PA,Allegheny County,278
PA,Allegheny County,575
PA,Allegheny County,1249
PA,Allegheny County,387
PA,Allegheny County,456
PA,Allegheny County,174
PA,Allegheny County,1798
PA,Allegheny County,340
PA,Allegheny County,942
PA,Allegheny County,353
PA,Allegheny County,388
PA,Allegheny County,126
PA,Allegheny County,484
PA,Allegheny County,341
PA,Allegheny County,395
PA,Allegheny County,762
PA,Allegheny County,854
PA,Allegheny County,1085
PA,Allegheny County,203
PA,Allegheny County,102
PA,Allegheny County,259
PA,Allegheny County,26
PA,Allegheny County,605
PA,Allegheny County,714
PA,Allegheny County,162
PA,Allegheny County,206
PA,Allegheny County,92
PA,Allegheny County,103
PA,Allegheny County,522
PA,Allegheny County,1195
PA,Allegheny County,882
PA,Allegheny County,576
PA,Allegheny County,203
PA,Allegheny County,273
PA,Allegheny County,199
PA,Allegheny County,151
PA,Allegheny County,30
PA,Allegheny County,1
PA,Allegheny County,21
PA,Allegheny County,4
PA,Allegheny County,5
PA,Allegheny County,2
PA,Washington County,1243
PA,Greene County,5
PA,Washington County,6
PA,Washington County,28
PA,Washington County,5
PA,Washington County,53
PA,Greene County,26
PA,Greene County,4
PA,Washington County,440
PA,Greene County,87
PA,#FIELD!,26
PA,Greene County,30
PA,Washington County,32
PA,Washington County,12
PA,Greene County,4
PA,Greene County,23
GA,#FIELD!,1
PA,Washington County,4
PA,Washington County,48
PA,Washington County,13
PA,Washington County,59
PA,Washington County,50
PA,Greene County,3
PA,Greene County,16
PA,Washington County,8
PA,Greene County,5
PA,Washington County,72
PA,Greene County,25
PA,Washington County,23
PA,Greene County,9
PA,#FIELD!,23
PA,Washington County,6
PA,Greene County,19
PA,Washington County,10
PA,Greene County,28
PA,Greene County,21
PA,Greene County,29
PA,Washington County,14
PA,Washington County,19
PA,Greene County,15
PA,#FIELD!,12
PA,Greene County,8
PA,Washington County,35
PA,#FIELD!,6
PA,Greene County,289
PA,Washington County,13
PA,#FIELD!,6
PA,Washington County,1
PA,Greene County,3
PA,Fayette County,985
PA,Fayette County,10
PA,Somerset County,4
PA,Washington County,11
PA,Fayette County,14
PA,Fayette County,1
PA,Fayette County,156
PA,Washington County,85
PA,Fayette County,3
PA,Fayette County,5
#FIELD!,#FIELD!,38
PA,Somerset County,20
PA,Fayette County,419
PA,#FIELD!,14
PA,Fayette County,26
PA,Washington County,1
PA,Fayette County,1
PA,Fayette County,113
PA,Washington County,3
PA,Fayette County,10
PA,Washington County,1
#FIELD!,#FIELD!,6
PA,Fayette County,110
PA,Fayette County,19
PA,Fayette County,16
PA,Fayette County,2
PA,Fayette County,36
PA,Fayette County,7
PA,Fayette County,12
PA,Fayette County,53
PA,Fayette County,4
PA,Fayette County,1
PA,Westmoreland County,4
PA,Fayette County,2
PA,Fayette County,3
PA,Fayette County,14
PA,Fayette County,3
PA,Fayette County,2
PA,Fayette County,43
PA,Fayette County,56
PA,Fayette County,10
PA,Fayette County,105
PA,Fayette County,1
#FIELD!,#FIELD!,4
WV,Fayette County,9
PA,Fayette County,4
#FIELD!,#FIELD!,2
PA,Fayette County,138
PA,Fayette County,19
PA,Fayette County,6
PA,Fayette County,7
PA,Fayette County,80
PA,Fayette County,42
PA,Fayette County,35
PA,Fayette County,9
PA,Washington County,9
PA,Fayette County,137
PA,Westmoreland County,27
PA,Fayette County,37
PA,Fayette County,6
PA,Washington County,6
PA,Fayette County,4
PA,Fayette County,28
PA,Fayette County,9
PA,Fayette County,3
PA,Somerset County,285
#FIELD!,#FIELD!,1
PA,Somerset County,4
PA,Bedford County,11
PA,Bedford County,154
PA,Somerset County,49
PA,Somerset County,47
PA,Somerset County,5
PA,Bedford County,21
PA,Bedford County,8
PA,Bedford County,13
PA,Fulton County,3
PA,Bedford County,117
PA,Somerset County,3
PA,Bedford County,12
PA,Somerset County,4
PA,Somerset County,28
PA,Somerset County,11
PA,Somerset County,5
PA,Bedford County,29
PA,Somerset County,5
PA,Somerset County,7
PA,Bedford County,10
PA,Somerset County,7
PA,Somerset County,81
PA,Bedford County,35
PA,Somerset County,3
PA,Somerset County,36
PA,Somerset County,11
PA,Bedford County,8
PA,Somerset County,1
PA,Somerset County,1
PA,Somerset County,1
PA,Somerset County,21
PA,Somerset County,1
#FIELD!,#FIELD!,1
PA,Westmoreland County,1023
#FIELD!,#FIELD!,1
PA,Westmoreland County,17
PA,Westmoreland County,3
PA,Westmoreland County,4
PA,Armstrong County,161
PA,Westmoreland County,4
PA,Westmoreland County,1
PA,Westmoreland County,16
PA,Westmoreland County,1
PA,Westmoreland County,13
PA,Fayette County,25
PA,Westmoreland County,10
PA,Westmoreland County,3
PA,Westmoreland County,2
PA,Westmoreland County,44
PA,Westmoreland County,87
PA,Westmoreland County,7
PA,Westmoreland County,9
PA,Fayette County,16
PA,Westmoreland County,84
PA,Westmoreland County,2
PA,Westmoreland County,5
PA,Westmoreland County,2
PA,Westmoreland County,43
PA,Westmoreland County,44
PA,Westmoreland County,3
PA,Westmoreland County,47
PA,Westmoreland County,6
PA,Westmoreland County,2
PA,Westmoreland County,518
PA,Westmoreland County,275
PA,Westmoreland County,1
PA,Westmoreland County,3
PA,Westmoreland County,489
PA,Westmoreland County,6
PA,Armstrong County,196
PA,Westmoreland County,53
PA,Fayette County,3
PA,Westmoreland County,5
PA,Westmoreland County,5
PA,Westmoreland County,5
PA,Westmoreland County,19
PA,Westmoreland County,311
PA,Westmoreland County,88
PA,Westmoreland County,30
PA,Westmoreland County,7
PA,Westmoreland County,117
PA,Armstrong County,10
PA,Westmoreland County,6
PA,Westmoreland County,2
PA,Westmoreland County,1
PA,Westmoreland County,4
PA,Westmoreland County,45
PA,Westmoreland County,1
PA,Indiana County,89
PA,Westmoreland County,98
PA,Westmoreland County,8
PA,Westmoreland County,1
PA,Armstrong County,4
PA,Westmoreland County,30
PA,Westmoreland County,5
PA,Westmoreland County,218
PA,Westmoreland County,1
PA,Westmoreland County,13
PA,Westmoreland County,3
PA,Westmoreland County,1
PA,Westmoreland County,52
PA,Westmoreland County,12
PA,Indiana County,588
#FIELD!,#FIELD!,1
PA,Indiana County,15
PA,Indiana County,1
PA,Jefferson County,2
PA,Indiana County,3
PA,Cambria County,143
PA,Jefferson County,14
PA,Indiana County,4
PA,Indiana County,291
PA,Clearfield County,1
PA,Cambria County,28
PA,Indiana County,16
PA,Indiana County,7
PA,Indiana County,2
PA,Indiana County,51
PA,Indiana County,25
PA,Indiana County,6
PA,Indiana County,10
PA,Indiana County,3
PA,Armstrong County,6
PA,Indiana County,6
PA,Indiana County,9
PA,Indiana County,13
PA,Indiana County,1
PA,Indiana County,14
PA,Indiana County,94
PA,Indiana County,4
PA,Indiana County,1
PA,Clearfield County,1
PA,Indiana County,4
PA,Indiana County,1
PA,Clearfield County,71
PA,Indiana County,33
PA,Cambria County,3
PA,Cambria County,1
PA,Jefferson County,1
PA,Indiana County,12
PA,Jefferson County,217
PA,Jefferson County,2
PA,Indiana County,6
PA,Indiana County,11
PA,Cambria County,15
PA,Indiana County,33
PA,Cambria County,8
PA,Jefferson County,1
PA,Indiana County,4
PA,Jefferson County,3
PA,Westmoreland County,2
PA,Jefferson County,1
PA,Indiana County,2
PA,Clearfield County,354
GA,#FIELD!,1
PA,Elk County,1
PA,Elk County,12
PA,Jefferson County,94
PA,Jefferson County,138
PA,Elk County,4
PA,Forest County,2
PA,Jefferson County,9
PA,Cameron County,9
PA,Cameron County,52
PA,Jefferson County,25
PA,Elk County,4
PA,Elk County,59
PA,Elk County,25
PA,Jefferson County,2
PA,Clearfield County,6
PA,Clearfield County,24
PA,Jefferson County,62
PA,Elk County,71
PA,Clearfield County,9
PA,Elk County,136
PA,Jefferson County,4
PA,Jefferson County,1
PA,Jefferson County,11
PA,Jefferson County,10
PA,Elk County,19
PA,Elk County,13
#FIELD!,#FIELD!,1
PA,Cambria County,96
PA,Cambria County,383
PA,Cambria County,367
PA,Cambria County,304
PA,Cambria County,240
PA,Cambria County,77
PA,Indiana County,8
PA,Cambria County,2
PA,Cambria County,2
PA,Westmoreland County,26
PA,Somerset County,12
PA,Cambria County,2
PA,Somerset County,33
PA,Cambria County,11
PA,Somerset County,17
PA,Indiana County,1
PA,Somerset County,3
PA,Cambria County,70
PA,Cambria County,1
PA,Somerset County,25
PA,Somerset County,11
PA,Somerset County,11
PA,Cambria County,25
PA,Cambria County,8
PA,Cambria County,15
PA,Cambria County,41
PA,Westmoreland County,27
PA,Cambria County,3
PA,Cambria County,70
PA,Cambria County,5
PA,Indiana County,9
PA,Cambria County,11
PA,Westmoreland County,31
PA,Cambria County,21
PA,Cambria County,30
PA,Indiana County,4
PA,Cambria County,13
PA,Cambria County,1
#FIELD!,#FIELD!,6
PA,Cambria County,10
PA,Somerset County,168
PA,Butler County,804
PA,Butler County,109
42,#FIELD!,1
42,#FIELD!,1
PA,Butler County,8
PA,Butler County,3
PA,Butler County,17
PA,Butler County,35
PA,Clarion County,13
PA,Butler County,2
PA,Butler County,46
PA,Butler County,9
PA,Clarion County,3
PA,Butler County,30
PA,Butler County,25
PA,Butler County,8
PA,Butler County,13
PA,Butler County,108
PA,Butler County,112
PA,Butler County,1
PA,Armstrong County,42
PA,Butler County,18
PA,Butler County,36
PA,Butler County,15
PA,Butler County,26
PA,Clarion County,24
PA,Butler County,81
PA,Butler County,41
PA,Butler County,145
PA,Butler County,91
PA,Butler County,20
PA,Butler County,70
PA,Butler County,409
#FIELD!,#FIELD!,1
PA,Lawrence County,1019
PA,Lawrence County,132
PA,Lawrence County,206
PA,Crawford County,3
PA,Crawford County,6
PA,Lawrence County,14
PA,Mercer County,3
PA,Mercer County,7
PA,Beaver County,32
PA,Lawrence County,36
PA,Lawrence County,259
PA,Lawrence County,28
PA,Mercer County,186
PA,Beaver County,15
PA,Mercer County,63
PA,Mercer County,276
PA,Mercer County,169
PA,Mercer County,28
PA,Crawford County,16
PA,Lawrence County,6
PA,Mercer County,16
PA,Mercer County,30
PA,Beaver County,14
PA,Mercer County,139
JB,#FIELD!,1
PA,Lawrence County,1
PA,Beaver County,15
PA,Lawrence County,55
PA,Lawrence County,39
PA,Mercer County,18
PA,Mercer County,565
PA,Mercer County,379
PA,Mercer County,273
PA,Mercer County,1
PA,Mercer County,13
PA,Mercer County,30
PA,Lawrence County,23
PA,Lawrence County,57
PA,Mercer County,35
PA,Lawrence County,11
PA,Mercer County,17
PA,Lawrence County,1
#FIELD!,#FIELD!,1
PA,Armstrong County,357
PA,Armstrong County,20
PA,Indiana County,1
PA,Armstrong County,3
PA,Clarion County,1
PA,Clarion County,175
PA,Forest County,1
PA,Armstrong County,6
PA,Armstrong County,24
PA,Clarion County,1
PA,Clarion County,9
PA,Armstrong County,111
PA,Armstrong County,51
PA,Clarion County,5
PA,Clarion County,38
PA,Clarion County,15
PA,Clarion County,7
PA,Armstrong County,4
PA,Armstrong County,21
PA,Forest County,21
PA,Armstrong County,14
PA,Clarion County,53
PA,Armstrong County,1
PA,Clarion County,4
PA,Indiana County,1
PA,Clarion County,36
PA,Armstrong County,9
PA,Armstrong County,5
PA,Armstrong County,1
PA,Clarion County,31
PA,Clarion County,17
PA,Indiana County,1
PA,Clarion County,29
PA,Armstrong County,11
PA,Clarion County,4
PA,Armstrong County,19
#FIELD!,#FIELD!,1
PA,Venango County,376
PA,Warren County,34
PA,Crawford County,50
PA,Crawford County,77
PA,Venango County,8
PA,Venango County,11
PA,Forest County,2
PA,Venango County,243
#FIELD!,#FIELD!,1
PA,Crawford County,18
PA,Crawford County,4
PA,Warren County,1
PA,Clarion County,1
PA,Clarion County,1
PA,Crawford County,564
PA,Warren County,14
PA,Venango County,13
PA,Venango County,19
PA,Venango County,6
PA,Venango County,8
PA,Warren County,6
PA,Venango County,35
PA,Warren County,18
PA,Warren County,27
PA,Warren County,11
PA,Warren County,2
PA,Forest County,26
PA,Crawford County,188
#FIELD!,#FIELD!,2
PA,Crawford County,5
PA,Venango County,13
PA,Venango County,5
PA,Warren County,270
PA,Forest County,1
PA,Warren County,37
PA,Venango County,5
PA,Venango County,67
PA,Venango County,10
PA,Erie County,62
PA,Warren County,3
PA,Crawford County,54
PA,Crawford County,22
PA,Warren County,6
PA,Crawford County,42
PA,Erie County,218
#FIELD!,#FIELD!,1
PA,Erie County,17
PA,Erie County,19
PA,Erie County,104
PA,Erie County,88
PA,Warren County,1
PA,Erie County,106
PA,Warren County,6
PA,Erie County,43
PA,Erie County,48
PA,Crawford County,50
PA,Erie County,33
PA,Erie County,1
PA,Erie County,173
#FIELD!,#FIELD!,3
PA,Crawford County,58
PA,Crawford County,27
PA,Crawford County,26
PA,Warren County,3
PA,Erie County,76
PA,Erie County,99
PA,Erie County,12
PA,Erie County,18
#FIELD!,#FIELD!,13
AQ,Charente County,1
#FIELD!,#FIELD!,1
PA,Erie County,302
PA,Erie County,736
PA,Erie County,712
PA,Erie County,356
PA,Erie County,248
PA,Erie County,309
PA,Erie County,238
PA,Erie County,496
PA,Erie County,847
PA,Erie County,455
PA,Erie County,149
PA,Erie County,1
PA,Erie County,1
PA,Erie County,5
PA,Erie County,6
PA,Erie County,2
PA,Erie County,1
PA,Erie County,6
PA,Blair County,820
PA,Blair County,1031
#FIELD!,#FIELD!,1
PA,Huntingdon County,20
PA,Cambria County,12
PA,Clearfield County,1
PA,Blair County,24
PA,Cambria County,4
PA,Clearfield County,2
PA,Huntingdon County,5
PA,Huntingdon County,2
PA,Huntingdon County,4
PA,Blair County,55
PA,Clearfield County,21
PA,Cambria County,2
PA,Cambria County,81
PA,Blair County,1
PA,Bedford County,2
PA,Huntingdon County,2
PA,Blair County,122
PA,Cambria County,5
PA,Blair County,27
PA,Huntingdon County,2
PA,Cambria County,15
PA,Cambria County,7
PA,Cambria County,43
#FIELD!,#FIELD!,1
PA,Cambria County,23
PA,Huntingdon County,13
PA,Blair County,193
PA,Bedford County,9
PA,Clearfield County,37
PA,Huntingdon County,192
PA,Bedford County,17
PA,Clearfield County,12
PA,Huntingdon County,47
PA,Bedford County,4
PA,Clearfield County,10
PA,Blair County,49
PA,Clearfield County,1
PA,Bedford County,8
PA,Blair County,3
PA,Clearfield County,130
PA,Bedford County,11
PA,Cambria County,41
PA,Huntingdon County,44
PA,Bedford County,3
PA,Clearfield County,2
PA,Bedford County,2
PA,Blair County,66
PA,Huntingdon County,24
#FIELD!,#FIELD!,1
PA,Centre County,1
PA,Bedford County,33
PA,Bedford County,5
PA,Clearfield County,6
PA,Clearfield County,1
PA,Blair County,7
PA,Huntingdon County,2
PA,Huntingdon County,3
PA,Blair County,242
PA,Fulton County,3
PA,Fulton County,3
PA,Clearfield County,4
PA,Blair County,40
PA,Huntingdon County,3
PA,Bedford County,5
PA,Clearfield County,2
PA,McKean County,419
PA,Potter County,11
PA,McKean County,1
PA,McKean County,3
PA,McKean County,12
PA,McKean County,5
PA,McKean County,152
PA,McKean County,3
PA,McKean County,2
PA,Elk County,3
PA,McKean County,83
PA,McKean County,15
PA,McKean County,8
PA,McKean County,103
PA,McKean County,9
PA,Potter County,12
PA,Potter County,16
PA,McKean County,138
PA,McKean County,2
PA,Centre County,377
PA,Centre County,63
PA,Centre County,240
#FIELD!,#FIELD!,1
#FIELD!,#FIELD!,1
PA,Centre County,5
PA,Clearfield County,2
PA,Clinton County,17
PA,Centre County,264
PA,Clearfield County,4
PA,Centre County,5
PA,Centre County,47
PA,Centre County,31
PA,Centre County,4
PA,Clearfield County,274
PA,Centre County,2
PA,Clearfield County,61
PA,Clearfield County,1
PA,Centre County,1
PA,Clearfield County,14
PA,Clearfield County,1
PA,Clearfield County,16
PA,Clearfield County,3
PA,Clearfield County,5
PA,Centre County,38
PA,Clearfield County,13
PA,Centre County,15
PA,Clearfield County,6
PA,Clearfield County,22
PA,Clearfield County,2
AB,Stockholm Municipality County,2
PA,Centre County,1
PA,Centre County,7
PA,Centre County,8
PA,Clearfield County,5
AB,Stockholm Municipality County,1
PA,Clearfield County,51
PA,Centre County,1
PA,Centre County,5
PA,Clearfield County,1
PA,Clearfield County,3
PA,Centre County,11
PA,Centre County,208
PA,Centre County,2
PA,Centre County,58
PA,Clinton County,1
PA,Centre County,5
PA,Centre County,25
PA,Centre County,17
PA,Clearfield County,1
PA,Huntingdon County,9
PA,Clearfield County,14
PA,Clearfield County,11
PA,Clearfield County,37
PA,Centre County,3
#FIELD!,#FIELD!,1
PA,Tioga County,104
#FIELD!,#FIELD!,1
PA,Bradford County,1
PA,Tioga County,4
PA,Tioga County,37
PA,Bradford County,45
PA,Potter County,116
PA,Tioga County,11
PA,Tioga County,58
PA,Tioga County,2
PA,Potter County,17
PA,Potter County,6
PA,Bradford County,40
PA,Bradford County,3
PA,Potter County,3
PA,Tioga County,11
PA,Tioga County,32
PA,Tioga County,10
PA,Tioga County,6
PA,Tioga County,112
PA,Tioga County,6
PA,Tioga County,23
PA,Tioga County,7
PA,Tioga County,4
PA,Tioga County,5
PA,Tioga County,15
PA,Tioga County,6
PA,Tioga County,52
PA,Bradford County,89
PA,Potter County,20
PA,Tioga County,31
AB,Stockholm Municipality County,1
AB,Stockholm Municipality County,1
PA,Mifflin County,8
PA,Lebanon County,149
PA,Mifflin County,16
PA,Dauphin County,3
PA,Perry County,5
PA,Cumberland County,40
PA,Mifflin County,39
PA,Cumberland County,492
PA,Cumberland County,728
PA,Cumberland County,316
PA,Lebanon County,5
PA,Northumberland County,24
PA,Dauphin County,47
PA,York County,718
PA,Perry County,124
PA,Juniata County,6
PA,Lancaster County,321
PA,Dauphin County,41
PA,Perry County,11
PA,Cumberland County,245
PA,Lebanon County,75
PA,Cumberland County,2
PA,Dauphin County,37
PA,Mifflin County,3
PA,Dauphin County,6
PA,Dauphin County,74
PA,Dauphin County,271
PA,Dauphin County,70
PA,Juniata County,4
PA,Dauphin County,248
PA,Perry County,6
PA,Lebanon County,145
PA,Lebanon County,1
PA,Perry County,16
PA,Lebanon County,652
PA,Cumberland County,142
PA,Mifflin County,469
PA,Perry County,15
PA,Lebanon County,728
PA,Perry County,15
PA,Dauphin County,67
PA,Juniata County,33
PA,Cumberland County,409
PA,Mifflin County,36
PA,Huntingdon County,25
PA,Perry County,48
PA,Mifflin County,1
PA,Cumberland County,513
PA,Dauphin County,549
PA,Juniata County,20
PA,Juniata County,73
PA,Huntingdon County,8
PA,Dauphin County,225
PA,Perry County,26
PA,Mifflin County,27
PA,Lebanon County,4
PA,Cumberland County,70
PA,Huntingdon County,89
PA,Lebanon County,180
PA,Perry County,41
PA,Perry County,3
PA,Cumberland County,280
PA,Perry County,1
PA,Cumberland County,2
PA,Lebanon County,50
PA,Perry County,105
PA,Juniata County,1
PA,Lebanon County,263
PA,Dauphin County,2
PA,Cumberland County,5
PA,Juniata County,23
PA,Lebanon County,1
PA,Mifflin County,37
PA,Juniata County,13
PA,Lebanon County,39
PA,Lebanon County,7
PA,Perry County,59
PA,Cumberland County,9
PA,Juniata County,10
PA,Dauphin County,12
PA,Dauphin County,57
PA,Mifflin County,25
PA,Dauphin County,145
PA,Dauphin County,697
PA,Dauphin County,724
PA,Dauphin County,926
PA,Dauphin County,1
PA,Dauphin County,724
PA,Dauphin County,852
PA,Dauphin County,1195
PA,Dauphin County,691
PA,Dauphin County,415
#FIELD!,#FIELD!,1
PA,Dauphin County,10
JK,#FIELD!,1
PA,Franklin County,593
PA,Franklin County,596
PA,Bedford County,1
PA,Fulton County,4
PA,Huntingdon County,4
PA,Franklin County,6
PA,Fulton County,10
#FIELD!,#FIELD!,1
PA,Franklin County,2
PA,Franklin County,2
PA,Franklin County,7
PA,Franklin County,150
PA,Fulton County,1
PA,Franklin County,18
PA,Franklin County,267
PA,Fulton County,7
PA,Fulton County,12
